Date,Open,High,Low,Close,Volume
2020-04-01 01:00:00,6447.52,6455.2,6408.06,6427.47,86.645272
2020-04-01 02:00:00,6427.83,6440.22,6267.19,6319.29,429.197257
2020-04-01 03:00:00,6318.26,6337.08,6297.16,6301.88,98.621833
2020-04-01 04:00:00,6299.24,6330.61,6297.73,6325.56,74.914168
2020-04-01 05:00:00,6326.35,6392.3,6321.44,6381.23,87.154838
2020-04-01 06:00:00,6382.12,6388.49,6346.42,6354.05,132.378618
2020-04-01 07:00:00,6353.8,6358.55,6301.0,6313.6,112.586115
2020-04-01 08:00:00,6313.59,6331.8,6282.36,6308.68,120.905163
2020-04-01 09:00:00,6311.09,6347.6,6298.67,6340.75,96.807104
2020-04-01 10:00:00,6340.66,6340.66,6297.18,6316.56,125.440572
2020-04-01 11:00:00,6317.99,6324.4,6273.22,6308.53,131.75314
2020-04-01 12:00:00,6309.84,6328.92,6298.79,6301.26,83.849468
2020-04-01 13:00:00,6302.32,6311.56,6280.22,6305.11,130.897732
2020-04-01 14:00:00,6306.12,6346.42,6222.34,6228.0,263.564772
2020-04-01 15:00:00,6226.6,6247.85,6183.28,6215.76,230.337636
2020-04-01 16:00:00,6214.78,6270.0,6210.0,6259.3,110.85042
2020-04-01 17:00:00,6260.41,6268.74,6229.96,6240.99,130.634174
2020-04-01 18:00:00,6241.06,6241.06,6159.86,6194.21,243.431583
2020-04-01 19:00:00,6194.02,6220.0,6174.39,6204.77,118.559671
2020-04-01 20:00:00,6207.56,6228.63,6195.34,6200.97,95.648285
2020-04-01 21:00:00,6200.95,6220.24,6176.27,6211.1,183.52897
2020-04-01 22:00:00,6211.1,6393.26,6203.0,6350.34,346.071103
2020-04-01 23:00:00,6350.34,6415.65,6349.32,6368.92,172.007635
2020-04-02 00:00:00,6369.15,6612.18,6369.15,6539.84,545.491565
2020-04-02 01:00:00,6539.98,6697.94,6519.6,6664.3,509.820781
2020-04-02 02:00:00,6664.24,6757.91,6604.51,6638.23,441.605145
2020-04-02 03:00:00,6638.07,6661.57,6578.95,6585.56,187.884588
2020-04-02 04:00:00,6582.66,6634.47,6582.26,6621.11,115.436033
2020-04-02 05:00:00,6622.61,6631.53,6596.48,6620.02,81.263494
2020-04-02 06:00:00,6619.92,6646.93,6604.15,6610.24,81.510308
2020-04-02 07:00:00,6611.79,6622.8,6579.1,6622.47,82.64062
2020-04-02 08:00:00,6620.47,6658.93,6605.99,6655.14,139.798332
2020-04-02 09:00:00,6655.13,6693.08,6627.65,6661.27,167.191521
2020-04-02 10:00:00,6660.96,6684.4,6620.0,6666.15,241.633534
2020-04-02 11:00:00,6664.35,6670.8,6640.05,6654.0,112.880304
2020-04-02 12:00:00,6654.0,6723.93,6634.69,6660.34,200.476502
2020-04-02 13:00:00,6659.88,6715.11,6621.42,6706.29,242.336128
2020-04-02 14:00:00,6706.29,6736.36,6651.1,6667.71,358.090232
2020-04-02 15:00:00,6667.49,6686.73,6635.0,6656.14,209.519897
2020-04-02 16:00:00,6655.44,6831.01,6650.07,6790.26,343.858145
2020-04-02 17:00:00,6789.49,6840.71,6734.85,6818.85,353.106456
2020-04-02 18:00:00,6818.58,6927.34,6804.58,6923.34,528.892489
2020-04-02 19:00:00,6926.83,7232.96,6926.83,7094.16,1260.572678
2020-04-02 20:00:00,7094.21,7101.88,6742.92,6796.86,1026.098314
2020-04-02 21:00:00,6796.13,6873.97,6735.2,6810.6,427.352744
2020-04-02 22:00:00,6808.68,6809.36,6658.57,6748.34,390.043101
2020-04-02 23:00:00,6746.42,6853.57,6719.28,6835.89,233.218421
2020-04-03 00:00:00,6833.57,6870.38,6789.49,6851.37,262.914398
2020-04-03 01:00:00,6848.87,6848.87,6737.45,6797.85,233.60635
2020-04-03 02:00:00,6797.85,6817.66,6737.08,6746.92,122.068794
2020-04-03 03:00:00,6745.22,6813.07,6727.86,6803.9,101.686604
2020-04-03 04:00:00,6803.82,6830.7,6780.37,6813.74,130.661883
2020-04-03 05:00:00,6814.91,6831.9,6777.42,6786.92,160.22738
2020-04-03 06:00:00,6785.79,6800.51,6762.83,6785.97,120.511853
2020-04-03 07:00:00,6786.05,6796.3,6750.35,6784.0,138.156764
2020-04-03 08:00:00,6781.39,6827.2,6769.38,6803.56,145.404114
2020-04-03 09:00:00,6802.91,6959.84,6791.56,6936.64,314.43565
2020-04-03 10:00:00,6938.59,6987.13,6876.82,6936.23,308.521945
2020-04-03 11:00:00,6934.98,6986.62,6903.0,6970.09,230.60842
2020-04-03 12:00:00,6967.75,7052.5,6923.96,7027.86,311.218636
2020-04-03 13:00:00,7029.25,7046.37,6945.5,7012.54,284.033935
2020-04-03 14:00:00,7014.41,7021.64,6855.0,6924.91,482.498696
2020-04-03 15:00:00,6925.59,6950.72,6833.0,6846.24,362.767823
2020-04-03 16:00:00,6851.6,6869.99,6735.0,6799.22,440.948109
2020-04-03 17:00:00,6798.93,6830.16,6677.7,6719.4,462.939656
2020-04-03 18:00:00,6720.5,6784.43,6612.64,6763.41,448.372028
2020-04-03 19:00:00,6764.27,6806.13,6677.19,6725.72,453.168903
2020-04-03 20:00:00,6726.36,6762.65,6685.75,6757.08,402.225322
2020-04-03 21:00:00,6754.76,6797.92,6748.27,6777.56,379.121826
2020-04-03 22:00:00,6779.47,6825.0,6690.0,6708.11,291.76656
2020-04-03 23:00:00,6705.0,6762.89,6679.9,6737.53,218.842915
2020-04-04 00:00:00,6737.53,6779.12,6719.64,6772.25,172.746043
2020-04-04 01:00:00,6771.18,6786.55,6726.42,6739.29,122.56926
2020-04-04 02:00:00,6739.43,6767.5,6720.16,6761.57,137.304546
2020-04-04 03:00:00,6760.42,6808.5,6754.08,6766.86,146.153308
2020-04-04 04:00:00,6764.66,6766.74,6688.47,6691.26,165.892101
2020-04-04 05:00:00,6692.49,6720.57,6673.97,6705.61,142.179153
2020-04-04 06:00:00,6705.01,6739.21,6693.7,6723.38,122.277173
2020-04-04 07:00:00,6722.63,6773.34,6715.82,6737.68,143.625219
2020-04-04 08:00:00,6736.06,6741.78,6704.37,6736.22,161.905191
2020-04-04 09:00:00,6737.37,6746.51,6725.32,6738.22,98.661901
2020-04-04 10:00:00,6738.56,6789.06,6738.56,6789.06,146.556052
2020-04-04 11:00:00,6789.79,6870.0,6750.86,6847.49,256.938575
2020-04-04 12:00:00,6849.53,6899.85,6819.38,6888.31,313.360713
2020-04-04 13:00:00,6888.13,6913.79,6660.95,6706.11,449.656159
2020-04-04 14:00:00,6705.45,6740.98,6675.17,6718.92,233.122221
2020-04-04 15:00:00,6718.91,6749.96,6700.35,6737.4,179.110864
2020-04-04 16:00:00,6736.76,6743.75,6711.11,6718.25,118.622823
2020-04-04 17:00:00,6718.01,6773.91,6715.59,6740.26,182.002954
2020-04-04 18:00:00,6738.27,6808.39,6724.66,6794.12,229.39845
2020-04-04 19:00:00,6793.81,6816.32,6771.61,6787.64,178.470225
2020-04-04 20:00:00,6787.68,6812.0,6780.19,6783.0,102.055382
2020-04-04 21:00:00,6783.78,6800.38,6732.18,6758.27,165.242631
2020-04-04 22:00:00,6757.24,7003.98,6756.26,6839.86,826.997296
2020-04-04 23:00:00,6838.52,6902.47,6837.65,6873.38,290.222855
2020-04-05 00:00:00,6873.81,6890.0,6804.09,6853.77,286.571067
2020-04-05 01:00:00,6853.62,6882.0,6833.59,6871.1,112.419722
2020-04-05 02:00:00,6871.07,6907.0,6850.54,6871.03,209.062512
2020-04-05 03:00:00,6872.14,6890.89,6842.09,6862.48,97.922268
2020-04-05 04:00:00,6861.61,6861.61,6802.53,6853.2,77.287679
2020-04-05 05:00:00,6853.29,6853.78,6803.09,6806.0,70.364024
2020-04-05 06:00:00,6807.6,6808.23,6759.46,6782.14,125.336459
2020-04-05 07:00:00,6784.06,6845.0,6766.87,6794.5,130.965612
2020-04-05 08:00:00,6792.63,6794.89,6750.0,6781.16,124.099246
2020-04-05 09:00:00,6781.0,6795.02,6762.62,6779.3,61.189525
2020-04-05 10:00:00,6779.78,6804.89,6760.39,6788.67,119.111754
2020-04-05 11:00:00,6788.76,6834.7,6772.36,6781.38,169.601648
2020-04-05 12:00:00,6780.24,6794.03,6750.6,6757.14,103.364997
2020-04-05 13:00:00,6757.37,6823.77,6754.59,6785.0,226.212784
2020-04-05 14:00:00,6783.57,6803.97,6765.96,6796.72,123.391144
2020-04-05 15:00:00,6796.63,6828.06,6788.1,6805.2,118.913892
2020-04-05 16:00:00,6804.59,6804.59,6777.0,6779.69,104.504466
2020-04-05 17:00:00,6778.43,6812.93,6772.0,6791.73,137.78895
2020-04-05 18:00:00,6792.33,6802.69,6775.1,6792.65,141.561996
