Date,Open,High,Low,Close,Volume
2022-09-01 01:00:00,20152.17,20155.84,19962.96,20046.96,3416.90944
2022-09-01 02:00:00,20048.77,20136.32,19915.0,20064.61,4760.63387
2022-09-01 03:00:00,20062.58,20182.5,20049.84,20125.42,3320.0364
2022-09-01 04:00:00,20125.82,20205.06,20067.99,20116.49,2937.53378
2022-09-01 05:00:00,20117.66,20180.0,19930.5,20022.97,3711.33392
2022-09-01 06:00:00,20022.58,20093.8,19991.63,20054.94,2464.26516
2022-09-01 07:00:00,20053.7,20137.09,20031.47,20039.52,2627.00403
2022-09-01 08:00:00,20038.0,20055.24,19948.43,19980.59,3521.69456
2022-09-01 09:00:00,19980.62,20013.21,19802.43,19891.8,5216.00684
2022-09-01 10:00:00,19893.93,19938.27,19820.84,19926.49,3058.28211
2022-09-01 11:00:00,19927.28,19983.8,19830.0,19935.27,4209.03747
2022-09-01 12:00:00,19933.48,20033.91,19914.0,20017.48,3511.84512
2022-09-01 13:00:00,20017.64,20125.56,19975.01,20074.01,4142.88606
2022-09-01 14:00:00,20074.01,20095.51,19888.66,19996.33,4281.27794
2022-09-01 15:00:00,19995.27,20042.37,19905.0,19971.73,4588.97172
2022-09-01 16:00:00,19969.85,19989.24,19658.78,19692.21,7373.89808
2022-09-01 17:00:00,19691.95,19841.91,19651.16,19783.7,4053.33937
2022-09-01 18:00:00,19782.49,19820.78,19560.0,19660.03,4391.03293
2022-09-01 19:00:00,19657.72,19935.34,19634.08,19724.27,4502.88112
2022-09-01 20:00:00,19724.56,19937.57,19702.31,19812.5,3914.71261
2022-09-01 21:00:00,19813.09,19905.91,19778.52,19871.35,3001.35382
2022-09-01 22:00:00,19869.19,20098.36,19841.17,20068.22,3782.86861
2022-09-01 23:00:00,20064.19,20167.81,20035.85,20084.46,2061.935
2022-09-02 00:00:00,20084.39,20178.0,20066.75,20077.01,2711.65886
2022-09-02 01:00:00,20077.73,20149.98,20053.52,20131.29,2034.56982
2022-09-02 02:00:00,20130.36,20136.0,20046.59,20072.7,2499.93676
2022-09-02 03:00:00,20071.63,20095.65,20008.68,20048.64,1979.47421
2022-09-02 04:00:00,20048.64,20079.74,19954.22,20031.08,2433.62944
2022-09-02 05:00:00,20032.33,20243.5,20028.61,20155.18,4215.46094
2022-09-02 06:00:00,20155.17,20294.78,20139.0,20160.26,3106.69137
2022-09-02 07:00:00,20158.28,20173.55,20078.9,20125.51,2220.21583
2022-09-02 08:00:00,20124.27,20132.82,20059.04,20105.71,2246.03186
2022-09-02 09:00:00,20104.0,20122.62,20038.1,20110.61,2097.3471
2022-09-02 10:00:00,20110.6,20137.5,20064.43,20093.0,2014.24903
2022-09-02 11:00:00,20092.6,20164.9,20073.01,20132.95,1631.31821
2022-09-02 12:00:00,20133.13,20178.0,20040.09,20068.12,2470.07914
2022-09-02 13:00:00,20066.44,20100.0,19990.0,20089.49,2409.07125
2022-09-02 14:00:00,20090.66,20361.0,20022.23,20283.98,7442.27686
2022-09-02 15:00:00,20283.99,20404.62,20245.1,20265.0,6254.90008
2022-09-02 16:00:00,20265.53,20442.14,20200.01,20363.1,4975.9552
2022-09-02 17:00:00,20365.6,20402.0,20280.01,20358.63,3409.63295
2022-09-02 18:00:00,20358.58,20383.03,20089.31,20130.84,4987.84411
2022-09-02 19:00:00,20130.67,20130.68,19763.64,19803.5,7531.20117
2022-09-02 20:00:00,19804.3,20073.75,19756.76,19935.34,6506.78033
2022-09-02 21:00:00,19935.17,19991.72,19782.93,19910.24,5023.91752
2022-09-02 22:00:00,19913.07,19980.5,19860.55,19966.25,2600.73864
2022-09-02 23:00:00,19965.05,20022.91,19923.84,19978.4,1575.74555
2022-09-03 00:00:00,19977.47,20021.27,19878.71,19990.97,2936.252
2022-09-03 01:00:00,19990.22,20004.65,19924.07,19953.72,2026.11502
2022-09-03 02:00:00,19953.72,20054.7,19921.36,20003.12,2809.83379
2022-09-03 03:00:00,20002.38,20009.85,19929.87,19954.91,1813.27696
2022-09-03 04:00:00,19954.86,19967.27,19893.52,19939.35,1810.94717
2022-09-03 05:00:00,19940.78,19941.34,19868.73,19899.42,1570.57717
2022-09-03 06:00:00,19899.48,19937.97,19885.64,19923.95,1276.83222
2022-09-03 07:00:00,19925.31,19968.21,19923.65,19944.24,1368.16656
2022-09-03 08:00:00,19945.27,19951.67,19828.19,19885.49,1623.33414
2022-09-03 09:00:00,19884.65,19912.87,19755.0,19816.81,2585.49476
2022-09-03 10:00:00,19816.86,19856.48,19764.67,19785.92,2153.14022
2022-09-03 11:00:00,19786.73,19822.01,19725.02,19797.59,2416.9103
2022-09-03 12:00:00,19797.28,19869.56,19791.92,19850.0,1784.1264
2022-09-03 13:00:00,19848.74,19858.16,19767.59,19799.77,1871.09616
2022-09-03 14:00:00,19797.91,19861.5,19788.76,19850.93,1545.0804
2022-09-03 15:00:00,19850.24,19904.7,19820.55,19864.57,1742.33478
2022-09-03 16:00:00,19865.25,19867.93,19779.4,19818.1,2046.1491
2022-09-03 17:00:00,19818.04,19833.22,19748.26,19773.18,2634.09814
2022-09-03 18:00:00,19773.26,19835.38,19771.85,19789.99,1776.72577
2022-09-03 19:00:00,19789.74,19830.0,19754.26,19817.01,1938.82192
2022-09-03 20:00:00,19817.04,19829.93,19737.05,19753.12,1477.77434
2022-09-03 21:00:00,19754.53,19817.57,19653.92,19709.34,3558.88111
2022-09-03 22:00:00,19710.52,19749.88,19679.51,19744.5,2302.96257
2022-09-03 23:00:00,19744.47,19776.53,19728.78,19751.98,867.42443
2022-09-04 00:00:00,19751.7,19824.77,19751.7,19795.47,1816.3162
2022-09-04 01:00:00,19794.67,19849.1,19761.92,19831.91,1298.3273
2022-09-04 02:00:00,19833.2,19861.91,19800.0,19808.44,1845.77325
2022-09-04 03:00:00,19808.12,19835.0,19773.06,19779.83,1409.69822
2022-09-04 04:00:00,19779.62,19814.48,19772.13,19791.57,1055.9665
2022-09-04 05:00:00,19793.11,19813.67,19743.0,19773.92,1223.5733
2022-09-04 06:00:00,19773.75,19813.5,19755.06,19803.33,1153.88219
2022-09-04 07:00:00,19803.32,19807.62,19761.74,19769.8,1238.07792
2022-09-04 08:00:00,19769.69,19787.33,19680.83,19700.43,2256.87681
2022-09-04 09:00:00,19700.44,19729.28,19615.0,19632.73,2104.47022
2022-09-04 10:00:00,19632.45,19759.08,19585.54,19736.36,3415.27014
2022-09-04 11:00:00,19736.3,19832.09,19727.49,19776.36,2704.09773
2022-09-04 12:00:00,19776.44,19798.91,19742.86,19755.51,1838.01445
2022-09-04 13:00:00,19756.78,19853.0,19707.01,19849.03,1846.2812
2022-09-04 14:00:00,19848.4,19938.78,19774.15,19873.6,3639.77019
2022-09-04 15:00:00,19873.13,19885.71,19685.0,19712.0,2817.83511
2022-09-04 16:00:00,19711.0,19752.68,19648.89,19747.05,3059.46016
2022-09-04 17:00:00,19748.14,19793.79,19684.19,19791.52,2052.60984
2022-09-04 18:00:00,19790.52,19916.74,19721.62,19892.04,3402.65067
2022-09-04 19:00:00,19892.08,19956.66,19830.0,19838.9,2972.75126
2022-09-04 20:00:00,19839.5,19884.0,19800.0,19848.64,1862.88561
2022-09-04 21:00:00,19848.73,19921.62,19821.26,19883.5,1828.76504
2022-09-04 22:00:00,19883.33,19932.33,19864.9,19902.16,1584.27287
2022-09-04 23:00:00,19902.4,19931.35,19831.31,19861.54,1480.69516
2022-09-05 00:00:00,19861.55,19887.54,19816.5,19836.28,2633.42097
2022-09-05 01:00:00,19836.47,20029.46,19826.66,20002.19,4559.79739
2022-09-05 02:00:00,20001.71,20058.01,19879.2,19915.54,4453.41142
2022-09-05 03:00:00,19914.21,19971.58,19814.77,19839.76,3566.61422
2022-09-05 04:00:00,19841.0,19867.82,19813.5,19853.65,2654.58354
2022-09-05 05:00:00,19853.62,19907.34,19811.75,19885.65,2400.07125
2022-09-05 06:00:00,19885.0,19913.46,19838.56,19888.43,2293.48819
2022-09-05 07:00:00,19888.08,19889.33,19680.84,19724.6,5889.64773
2022-09-05 08:00:00,19725.26,19801.96,19703.2,19787.05,2844.1996
2022-09-05 09:00:00,19788.34,19799.03,19707.8,19749.68,3322.2716
2022-09-05 10:00:00,19750.18,19793.07,19722.54,19780.98,2624.48764
2022-09-05 11:00:00,19782.22,19805.47,19727.22,19768.09,2626.94758
2022-09-05 12:00:00,19768.58,19790.04,19656.49,19689.24,3741.51871
2022-09-05 13:00:00,19689.24,19721.96,19634.0,19700.17,3374.97387
2022-09-05 14:00:00,19700.17,19755.1,19666.66,19725.28,3696.91875
2022-09-05 15:00:00,19726.5,19792.75,19709.55,19741.77,3343.32922
