Date,Open,High,Low,Close,Volume
2023-08-01 01:00:00,29211.92,29239.7,29194.16,29234.03,21.69614
2023-08-01 02:00:00,29234.02,29289.99,29215.43,29286.0,35.81533
2023-08-01 03:00:00,29286.01,29345.0,29177.0,29201.98,71.67005
2023-08-01 04:00:00,29201.98,29218.0,28734.71,28935.59,578.81514
2023-08-01 05:00:00,28935.58,28951.4,28818.08,28835.41,170.83839
2023-08-01 06:00:00,28832.42,28924.65,28807.99,28868.0,129.98273
2023-08-01 07:00:00,28867.99,28921.29,28854.0,28921.28,42.50483
2023-08-01 08:00:00,28921.28,28967.74,28906.76,28915.99,47.04361
2023-08-01 09:00:00,28914.78,28939.82,28898.43,28937.09,170.45635
2023-08-01 10:00:00,28937.09,28986.3,28909.06,28986.3,83.1091
2023-08-01 11:00:00,28986.45,28987.88,28925.12,28926.0,42.49216
2023-08-01 12:00:00,28926.01,28940.0,28895.26,28924.1,41.38862
2023-08-01 13:00:00,28924.1,28925.56,28856.16,28856.16,54.67179
2023-08-01 14:00:00,28856.17,28916.23,28753.22,28870.01,220.90943
2023-08-01 15:00:00,28870.0,28903.8,28855.37,28858.13,59.0415
2023-08-01 16:00:00,28858.0,28887.85,28775.0,28816.06,106.08714
2023-08-01 17:00:00,28816.0,28965.0,28567.9,28937.02,416.87891
2023-08-01 18:00:00,28937.02,29031.36,28849.01,28920.0,327.65508
2023-08-01 19:00:00,28918.01,28967.73,28914.0,28937.62,73.09273
2023-08-01 20:00:00,28937.63,29252.0,28937.62,29252.0,295.49386
2023-08-01 21:00:00,29252.0,29314.0,29202.41,29262.0,223.86889
2023-08-01 22:00:00,29262.0,29294.88,29171.31,29217.99,177.91523
2023-08-01 23:00:00,29217.99,29301.34,29186.35,29233.12,91.55983
2023-08-02 00:00:00,29234.77,29239.72,29190.0,29239.31,47.3506
2023-08-02 01:00:00,29239.31,29718.29,29239.31,29693.57,939.10183
2023-08-02 02:00:00,29693.21,29819.27,29668.01,29802.0,526.00885
2023-08-02 03:00:00,29803.93,30033.0,29774.0,29830.0,456.40443
2023-08-02 04:00:00,29830.01,29866.0,29774.21,29796.36,134.57791
2023-08-02 05:00:00,29797.99,29804.0,29610.0,29618.51,162.81642
2023-08-02 06:00:00,29620.0,29702.54,29574.05,29655.49,144.88094
2023-08-02 07:00:00,29655.5,29655.5,29593.56,29634.01,67.29436
2023-08-02 08:00:00,29634.0,29670.0,29550.69,29550.69,67.74038
2023-08-02 09:00:00,29550.51,29626.0,29547.39,29556.01,68.04059
2023-08-02 10:00:00,29556.0,29556.01,29364.49,29471.53,289.5638
2023-08-02 11:00:00,29471.54,29484.83,29405.26,29441.71,112.26102
2023-08-02 12:00:00,29440.7,29520.0,29428.17,29519.12,58.76499
2023-08-02 13:00:00,29519.11,29561.67,29491.63,29549.81,121.88049
2023-08-02 14:00:00,29549.81,29590.05,29452.68,29455.61,156.54821
2023-08-02 15:00:00,29453.49,29454.0,29331.03,29398.27,179.89857
2023-08-02 16:00:00,29398.0,29398.0,29240.27,29264.0,273.26548
2023-08-02 17:00:00,29260.01,29345.0,29159.63,29312.0,258.64686
2023-08-02 18:00:00,29308.0,29345.0,28915.0,29015.72,671.15253
2023-08-02 19:00:00,29009.99,29234.0,28958.01,29131.06,319.53555
2023-08-02 20:00:00,29130.0,29140.0,29017.51,29131.25,150.22996
2023-08-02 21:00:00,29131.25,29202.0,29118.0,29142.0,108.73956
2023-08-02 22:00:00,29140.05,29154.0,29096.78,29121.93,43.7527
2023-08-02 23:00:00,29121.93,29187.49,29055.34,29168.65,65.77083
2023-08-03 00:00:00,29168.65,29218.41,29158.79,29174.07,73.81852
2023-08-03 01:00:00,29174.06,29174.06,29122.22,29167.09,45.92944
2023-08-03 02:00:00,29167.08,29209.0,29148.6,29158.0,54.67571
2023-08-03 03:00:00,29158.0,29258.13,29146.0,29236.0,55.90395
2023-08-03 04:00:00,29236.0,29257.62,29117.48,29162.35,56.96542
2023-08-03 05:00:00,29162.36,29164.94,29120.13,29164.94,29.07229
2023-08-03 06:00:00,29165.29,29176.35,29070.0,29124.53,52.98651
2023-08-03 07:00:00,29124.53,29140.54,29080.01,29136.01,27.51492
2023-08-03 08:00:00,29136.0,29143.84,29033.86,29076.0,69.45904
2023-08-03 09:00:00,29074.0,29091.26,29009.09,29032.0,108.45396
2023-08-03 10:00:00,29031.99,29099.99,28953.16,29097.91,152.76106
2023-08-03 11:00:00,29099.08,29141.43,29084.68,29134.22,66.1349
